1.05 -117.0085 34.2036667 1488185465 9km E of Running Springs, CA
2.19 -121.5801697 36.9580002 1488173538 5km S of Gilroy, California
1.11 -117.7411652 35.9083328 1584127659 15km ESE of Little Lake, CA
1.62 -117.4468333 35.6451667 1584127266 14km SSW of Searles Valley, CA
1.86 -112.4608333 46.0046667 1584126364 5km E of Butte, Montana
1.98 -155.3058319 19.4634991 1584125905 8km WNW of Volcano, Hawaii
2.28 -155.2761688 19.5151672 1584125880 10km NNW of Volcano, Hawaii
4.9 38.5362 -4.8949 1584124663 19km NNW of Maramba, Tanzania
1.87 -155.4531708 19.1866665 1584124376 3km SE of Pahala, Hawaii
1.5 -116.001503 33.2789993 1584127989 5km WSW of Salton City, CA
1.1 -117.7423333 35.9078333 1584127659 15km ESE of Little Lake, CA
